"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"24/10/2025","114,14","114,20","114,14","114,14","-0,05%"
"23/10/2025","114,20","114,20","114,20","114,20","-0,49%"
"22/10/2025","114,76","114,76","114,77","114,76","-0,01%"
"21/10/2025","114,77","114,63","114,77","114,63","0,03%"
"20/10/2025","114,73","114,67","114,73","114,67","0,20%"
"17/10/2025","114,50","114,45","114,50","114,45","-0,02%"
"16/10/2025","114,52","114,52","114,52","114,52","0,00%"
"15/10/2025","114,52","114,67","114,68","114,37","-0,02%"
"14/10/2025","114,54","114,01","114,54","114,01","0,30%"
"13/10/2025","114,20","114,18","114,20","114,20","0,02%"
"10/10/2025","114,18","114,18","114,18","114,18","0,18%"
"09/10/2025","113,97","113,98","113,97","113,97","-0,74%"
"08/10/2025","114,82","113,98","114,82","113,84","0,17%"
"07/10/2025","114,63","114,16","114,63","114,16","0,55%"
"06/10/2025","114,00","114,00","114,00","114,00","-0,65%"
"03/10/2025","114,75","114,75","114,75","114,75","0,66%"
"02/10/2025","114,00","113,76","114,00","114,00","0,29%"
"01/10/2025","113,67","113,76","113,85","113,67","-0,23%"
"30/09/2025","113,93","113,68","113,93","113,68","0,20%"
"29/09/2025","113,70","114,21","114,21","113,70","-0,18%"
"26/09/2025","113,91","113,67","113,91","113,67","0,06%"
"25/09/2025","113,84","113,86","114,06","113,84","-0,21%"
"24/09/2025","114,08","114,08","114,08","114,08","-0,04%"
"23/09/2025","114,12","113,97","114,13","113,97","0,04%"
"22/09/2025","114,08","114,05","114,08","114,00","0,18%"
"19/09/2025","113,88","113,70","114,27","113,70","-0,37%"
"18/09/2025","114,30","114,39","114,39","114,30","-0,02%"
"17/09/2025","114,32","114,32","114,32","114,32","-0,30%"
"16/09/2025","114,66","114,29","114,66","114,29","0,13%"
"15/09/2025","114,51","114,51","114,51","114,51","0,20%"
"12/09/2025","114,28","114,28","114,28","114,28","-0,55%"
"11/09/2025","114,91","114,61","114,91","114,61","0,24%"
"10/09/2025","114,63","114,70","114,70","114,63","0,17%"
"09/09/2025","114,43","114,73","114,73","114,43","-0,21%"
"08/09/2025","114,67","114,11","114,88","114,11","0,41%"
"05/09/2025","114,20","114,26","114,26","114,20","0,06%"
"04/09/2025","114,13","113,93","114,37","113,93","0,27%"
"03/09/2025","113,82","113,75","113,86","113,75","-0,10%"
"02/09/2025","113,93","113,97","114,20","113,93","-0,57%"
"01/09/2025","114,58","114,62","114,62","114,33","0,10%"
"29/08/2025","114,47","114,47","114,47","114,47","-0,63%"
"28/08/2025","115,20","115,20","115,20","115,20","-0,07%"
"27/08/2025","115,28","115,19","115,47","115,19","0,24%"
"26/08/2025","115,00","115,28","115,28","115,00","0,00%"
"25/08/2025","115,00","115,00","115,00","115,00","-0,19%"
"23/08/2025","115,22","115,26","115,22","115,22","0,00%"
"22/08/2025","115,22","115,26","115,22","115,22","0,13%"
"21/08/2025","115,07","115,26","115,07","115,07","-0,16%"
"20/08/2025","115,26","115,26","115,26","115,26","0,04%"
"19/08/2025","115,21","114,97","115,21","115,21","0,21%"
"18/08/2025","114,97","114,97","114,97","114,97","-0,54%"
"17/08/2025","115,60","115,29","115,60","115,60","0,00%"
"14/08/2025","115,60","115,29","115,60","115,60","-0,09%"
"13/08/2025","115,70","115,29","115,70","115,70","-0,01%"
"12/08/2025","115,71","115,29","115,71","115,29","-0,11%"
"11/08/2025","115,84","115,90","115,90","115,84","0,03%"
"08/08/2025","115,80","115,91","115,91","115,51","-0,01%"
"07/08/2025","115,81","116,10","116,10","115,81","0,00%"
"06/08/2025","115,81","115,73","115,81","115,73","-0,71%"
"05/08/2025","116,64","116,25","116,64","115,76","1,00%"
"04/08/2025","115,49","115,53","115,63","115,36","-0,35%"
"01/08/2025","115,89","115,60","115,89","115,60","-0,14%"
"31/07/2025","116,05","116,04","116,05","116,04","0,12%"
"30/07/2025","115,91","116,04","115,91","115,91","-0,11%"
"29/07/2025","116,04","116,04","116,04","116,04","-0,32%"
"28/07/2025","116,41","116,20","116,41","116,20","0,45%"
"25/07/2025","115,89","116,00","116,16","115,67","-0,80%"
"24/07/2025","116,83","116,41","116,83","116,34","0,59%"
"23/07/2025","116,15","116,74","116,74","116,15","-0,69%"
"22/07/2025","116,96","116,96","116,96","116,96","-0,27%"
"21/07/2025","117,28","116,89","117,59","116,89","0,51%"
"18/07/2025","116,68","116,60","117,04","116,60","-0,32%"
"17/07/2025","117,05","116,67","117,05","116,16","0,23%"
"16/07/2025","116,78","117,04","117,06","116,78","-0,07%"
"15/07/2025","116,86","117,05","116,86","116,86","-0,09%"
"14/07/2025","116,96","117,05","117,05","116,96","-0,03%"
"11/07/2025","117,00","117,00","117,00","117,00","0,21%"
"10/07/2025","116,76","116,98","116,76","116,76","-0,25%"
"09/07/2025","117,05","116,98","117,05","116,98","0,18%"
"08/07/2025","116,84","116,71","116,84","116,71","-0,07%"
"07/07/2025","116,92","116,92","116,92","116,92","0,69%"
"04/07/2025","116,12","116,12","116,12","116,12","-0,27%"
"03/07/2025","116,44","115,54","116,44","116,44","0,60%"
"02/07/2025","115,74","115,54","115,95","115,54","-0,20%"
"01/07/2025","115,97","115,96","115,97","115,96","0,21%"
"30/06/2025","115,73","115,63","115,73","115,73","0,20%"
"27/06/2025","115,50","115,63","115,81","115,50","-0,22%"
"26/06/2025","115,75","115,75","115,75","115,75","-0,02%"
